file,line,type,field,id,priority
stops,14026,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_rotogate_se_unpaid,MEDIUM
stops,13932,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_faregate_unpaid_area,MEDIUM
stops,14095,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_rotogate_w_unpaid_area,MEDIUM
stops,14254,SuspectStopLocationError,stop_id,33036_boarding_track_1_position_3,MEDIUM
stops,14204,SuspectStopLocationError,stop_id,33035_node_mezzanine_faregate_market_central_southwest_paid,MEDIUM
stops,12543,SuspectStopLocationError,stop_id,31033_node_elevator_3_mezzanine_unpaid,MEDIUM
stops,12631,SuspectStopLocationError,stop_id,31034_node_m1_fare_gate_unpaid,MEDIUM
stops,14198,SuspectStopLocationError,stop_id,33035_node_mezzanine_30th_street_northwest_escalator_north,MEDIUM
stops,14021,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_faregate_e_paid,MEDIUM
stops,14028,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_dilworth_plaza_se_stair_unpaid_area,MEDIUM
stops,13955,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_paid_stair_to_nb_b,MEDIUM
stops,13956,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_paid_stair_to_sb_a,MEDIUM
stops,14288,SuspectStopLocationError,stop_id,33036_node_stair_central_platform,MEDIUM
stops,13904,SuspectStopLocationError,stop_id,33034_boarding_b_sb_4,MEDIUM
stops,14230,SuspectStopLocationError,stop_id,33035_node_mezzanine_rotogate_market_southwest_unpaid,MEDIUM
stops,14280,SuspectStopLocationError,stop_id,33036_node_exitgate_north_west_paid,MEDIUM
stops,13965,SuspectStopLocationError,stop_id,33034_node_b_platform_nb_north_stair_a_landing,MEDIUM
stops,12630,SuspectStopLocationError,stop_id,31034_node_m1_fare_gate_paid,MEDIUM
stops,13967,SuspectStopLocationError,stop_id,33034_node_b_platform_nb_north_stair_c_landing,MEDIUM
stops,14059,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_faregate_ec_paid_area,MEDIUM
stops,12620,SuspectStopLocationError,stop_id,31034_node_elevator_north_hall,MEDIUM
stops,13912,SuspectStopLocationError,stop_id,33034_boarding_t_wb_1,MEDIUM
stops,12588,SuspectStopLocationError,stop_id,31033_node_stair_c_mezzanine_paid,MEDIUM
stops,13994,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_lower_ramp_n_unpaid_area,MEDIUM
stops,14102,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_ssw_unpaid_area,MEDIUM
stops,13964,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_w_paid_area,MEDIUM
stops,14023,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_rotogate_ne_paid,MEDIUM
stops,14036,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_l_faregate_w_unpaid,MEDIUM
stops,14119,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_e2_landing,MEDIUM
stops,14258,SuspectStopLocationError,stop_id,33036_boarding_track_4_position_1,MEDIUM
stops,14134,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_16th_market_exit_faregate_unpaid,MEDIUM
stops,14079,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_ne_paid_area,MEDIUM
stops,13936,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_nw_central_paid_area,MEDIUM
stops,12564,SuspectStopLocationError,stop_id,31033_node_main_hall_center_junction,MEDIUM
stops,14239,SuspectStopLocationError,stop_id,33035_node_platform_elevator_market_central_northeast,MEDIUM
stops,14275,SuspectStopLocationError,stop_id,33036_node_exitgate_central_east_unpaid,MEDIUM
stops,13933,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_ne_central_paid_area,MEDIUM
